shapeID,shapeLabel,resourceURI,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note,lcDefaultLiteral,lcDefaultURI,lcDataTypeURI,lcRemark
lc:RT:bf2:35mmFeatureFilm:DigItem,Digital Item,bf:Item,bf:heldBy,Held by,false,false,,,,http://id.loc.gov/vocabulary/organizations,IRIstem,,United States. Library of Congress,http://id.loc.gov/vocabulary/organizations/dlc,bf:Agent,
,,,bf:shelfMark,Call numbers,false,true,bnode,,lc:RT:bf2:Identifiers:Shelfmark,,,,,,,
,,,bf:contribution,Collection,false,true,bnode,,lc:RT:bf2:Agent:bfCorp,,,,,,bf:Contribution,
,,,bf:electronicLocator,URL of Item,false,true,bnode,,lc:RT:bf2:URL,,,,,,,
,,,bf:note,Notes about the Item,false,true,bnode,,lc:RT:bf2:Note,,,,,,,
,,,bf:usageAndAccessPolicy,"Lending, reproduction, and retention policies",false,true,bnode,,lc:RT:bf2:Item:Access | lc:RT:bf2:Item:Retention | lc:RT:bf2:Item:Use,,,,,,,
,,,bf:extent,Extent,false,true,bnode,,lc:RT:bf2:Extent,,,,,,,
,,,bf:duration,Duration,false,true,literal,,,,,,,,,
,,,bf:digitalCharacteristic,Digital file characteristics,false,true,bnode,,lc:RT:bf2:MIBluRayDVD:FileType | lc:RT:bf2:MIBluRayDVD:EncFmt,,,,,,,
,,,bf:soundCharacteristic,Sound characteristics,false,true,bnode,,lc:RT:bf2:SoundContent | lc:RT:bf2:TypeRec | lc:RT:bf2:RecMedium | lc:RT:bf2:MIBluRayDVD:Playback,,,,,,,
lc:RT:bf2:35mmFeatureFilm:Event,Event,bf:Event,rdfs:label,Event,false,true,literal,,,,,,,,,
,,,bf:date,Date of event,false,true,literal,,,,,,,,,
lc:RT:bf2:35mmFeatureFilm:Instance,BIBFRAME Instance,bf:Instance,bf:instanceOf,Instance of,false,true,bnode,,lc:RT:bf2:35mmFeatureFilm:Work,,,,,,,
,,,bf:title,Title information,true,true,bnode,,lc:RT:bf2:InstanceTitle | lc:RT:bf2:Title:VarTitle | lc:RT:bf2:ParallelTitle,,,,,,,https://bibframe.org/view/documentation-marva-manual/instance-description/title-information.md
,,,bf:responsibilityStatement,Statement of responsibility,false,true,literal,,,,,,,,,https://bibframe.org/view/documentation-marva-manual/instance-description/statement-of-responsibility.md
,,,bf:editionStatement,Edition statement,false,true,literal,,,,,,,,,https://bibframe.org/view/documentation-marva-manual/instance-description/edition-statement.md
,,,bf:provisionActivity,Provision activity,false,true,bnode,,lc:RT:bf2:ProdInfoNew | lc:RT:bf2:PubInfoNew | lc:RT:bf2:DistInfoNew | lc:RT:bf2:ManuInfoNew,,,,,,,https://bibframe.org/view/documentation-marva-manual/instance-description/provision-activity.md
,,,bf:copyrightDate,Copyright date,false,true,literal,,,,,,,,,https://bibframe.org/view/documentation-marva-manual/instance-description/copyright-date.md
,,,bf:originPlace,Place of origin,false,true,,,,http://id.loc.gov/authorities/names,IRIstem,,,,bf:Place,
,,,bf:issuance,Mode of issuance,false,true,,,,http://id.loc.gov/vocabulary/issuance,IRIstem,,single unit,http://id.loc.gov/vocabulary/issuance/mono,bf:Issuance,https://bibframe.org/view/documentation-marva-manual/instance-description/mode-of-issuance.md
,,,bf:identifiedBy,Identifiers,false,true,bnode,,lc:RT:bf2:Identifiers:LCCN | lc:RT:bf2:Identifiers:Copyright | lc:RT:bf2:Identifiers:PubNumber | lc:RT:bf2:Identifiers:Other | lc:RT:bf2:Identifiers:Local | lc:RT:bf2:Identifiers:Oclc,,,,,,,https://bibframe.org/view/documentation-marva-manual/instance-description/identifiers.md
,,,bf:note,Notes about the Instance,false,true,bnode,,lc:RT:bf2:Note,,,,,,,https://bibframe.org/view/documentation-marva-manual/instance-description/notes-about-instance.md
,,,bf:supplementaryContent,Supplementary content URL,false,true,bnode,,lc:RT:bf2:SupplContentNote,,,,,,,https://bibframe.org/view/documentation-marva-manual/instance-description/supplementary-content-url.md
,,,bf:media,Media type,false,true,,,,http://id.loc.gov/vocabulary/mediaTypes,IRIstem,,projected,http://id.loc.gov/vocabulary/mediaTypes/g,bf:Media,https://bibframe.org/view/documentation-marva-manual/instance-description/media-type.md
,,,bf:carrier,Carrier type,false,true,,,,http://id.loc.gov/vocabulary/carriers,IRIstem,,film reel,http://id.loc.gov/vocabulary/carriers/mr,bf:Carrier,https://bibframe.org/view/documentation-marva-manual/instance-description/carrier-type.md
,,,bf:extent,Physical description,,true,bnode,,lc:RT:bf2:ExtentExtra,,,,,,,https://bibframe.org/view/documentation-marva-manual/instance-description/physical-description.md
,,,bf:dimensions,Dimensions,false,true,literal,,,,,,,,,https://bibframe.org/view/documentation-marva-manual/instance-description/dimensions.md
,,,bf:electronicLocator,URL of Instance,false,true,bnode,,lc:RT:bf2:URL,,,,,,,https://bibframe.org/view/documentation-marva-manual/instance-description/url-of-instance.md
