shapeID,shapeLabel,resourceURI,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note,lcDefaultLiteral,lcDefaultURI,lcDataTypeURI,lcRemark
lc:OfficialRDA:Monograph:Expression:Work,BIBFRAME Work / RDA Expression,https://id.loc.gov/resources/Work,bf:contribution,creator agent of expression,FALSE,TRUE,bnode,,lc:RT:bflc:Agents:PrimaryContribution,,,,,,bflc:PrimaryContribution,https://access.rdatoolkit.org/en-US_ala-08699d76-022a-3473-94ae-f56f5fe45b1b
,,,bf:title,preferred title of expression,TRUE,TRUE,bnode,,lc:RT:WorkTitle,,,,,,,https://access.rdatoolkit.org/en-US_ala-f0ea4e3a-fbe5-3135-bd95-1b5260f1e69e
,,,bf:title,variant title of expression,FALSE,TRUE,bnode,,lc:RT:Title:VarTitle,,,,,,,https://access.rdatoolkit.org/en-US_ala-de257390-c2dd-395e-9c80-262194bd5c58
,,,bf:content,content type,TRUE,TRUE,,,,http://id.loc.gov/vocabulary/contentTypes,IRIstem,,text,http://id.loc.gov/vocabulary/contentTypes/txt,bf:Content,https://access.rdatoolkit.org/en-US_ala-1a6a5219-2cd5-3762-87e8-6ee28e327b8b
,,,bf:language,language of expression,FALSE,TRUE,IRI,,,http://id.loc.gov/vocabulary/languages,IRIstem,,,,bf:Language,https://access.rdatoolkit.org/en-US_ala-b7de61e2-fe4b-3cc3-a4a2-7a3c4c55b4fc
,,,https://id.loc.gov/ontologies/bibframe/summary,summarization of content,FALSE,TRUE,bnode,,lc:RT:Summary,,,,,,,https://access.rdatoolkit.org/en-US_ala-96aa1921-45db-31a9-8128-9661f60799dc
,,,bf:note,note on expression,FALSE,TRUE,bnode,,lc:RT:Note,,,,,,,https://access.rdatoolkit.org/en-US_ala-9bcdee0a-0051-3aff-bb30-fdce5aa37216
,,,bflc:relationship,related expression of expression,FALSE,TRUE,bnode,,lc:RT:RelatedExpression,,,,,,,https://access.rdatoolkit.org/en-US_ala-458a5896-b879-3c9d-a0d7-065110c3968c
,,,bf:identifiedBy,authorized access point for expression,FALSE,TRUE,literal,,,,,,,,,https://access.rdatoolkit.org/en-US_ala-7af61468-85ab-3d86-ad8d-4a1158edb7c7
,,,bf:hasInstance,Add RDA Manifestation,FALSE,TRUE,bnode,,lc:RT:Monograph:Instance,,,,,,,
lc:OfficialRDA:Monograph:Hub,BIBFRAME Hub / RDA Work / RDA Representative Expression,https://id.loc.gov/resources/Hub,https://id.loc.gov/ontologies/bibframe/contribution,creator agent of work,FALSE,TRUE,bnode,,lc:RT:bflc:Agents:PrimaryContribution,,,,,,bf:PrimaryContribution,https://access.rdatoolkit.org/en-US_ala-6277a869-961d-379f-8ae8-7ec159052a26
,,,bf:title,preferred title of work,FALSE,TRUE,bnode,,lc:RT:WorkTitle,,,,,,,https://access.rdatoolkit.org/en-US_ala-f21836a5-7397-341a-bd4c-bd641e765511
,,,bf:VariantTitle,variant title of work,FALSE,TRUE,bnode,,lc:RT:Title:VarTitle,,,,,,,https://access.rdatoolkit.org/en-US_ala-f21836a5-7397-341a-bd4c-bd641e765511
,,,bf:genreForm,category of work,FALSE,TRUE,bnode,,lc:RT:Form | lc:RT:Gsafd,,,,,,bf:GenreForm,https://access.rdatoolkit.org/en-US_ala-28e39ed9-43ec-3a0d-bd30-83c805efaa8c
,,,bf:originDate,date of work,FALSE,TRUE,literal,,,,,,,,,https://access.rdatoolkit.org/en-US_ala-a23c8e78-ebc8-34ea-9a63-23c35b9c36ba
,,,bf:originPlace,place of origin of work,FALSE,TRUE,bnode,,lc:RT:Place,,,,,,bf:Place,https://access.rdatoolkit.org/en-US_ala-4a02af89-66ae-3c18-963f-1535c3d6d970
,,,bf:temporalCoverage,coverage of content (chronological),FALSE,TRUE,literal,,,,,,,,,https://access.rdatoolkit.org/en-US_ala-b0a21725-2202-38d3-a1de-7be8199d845b
,,,bf:geographicCoverage,coverage of content (geographic),FALSE,TRUE,bnode,,lc:RT:Form:Geog,,,,,,,https://access.rdatoolkit.org/en-US_ala-b0a21725-2202-38d3-a1de-7be8199d845b
,,,bf:note,note on work,FALSE,TRUE,bnode,,lc:RT:Note,,,,,,,https://access.rdatoolkit.org/en-US_ala-521fa629-f515-3247-9db0-f03e8736bf15
,,,bf:subject,subject,FALSE,TRUE,bnode,,lc:RT:Components | lc:RT:Topic:Place:Components | lc:RT:Topic:SubjectWork,,,,,,mads:SimpleType,
,,,bf:classification,classification,FALSE,TRUE,bnode,,lc:RT:LCC | lc:RT:DDC,,,,,,,
